description,price,image,title
Samsung - Bespoke 30 cu. ft. 3-Door French Door Refrigerator with Beverage Center - White Glass,2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6493/6493529_sd.jpg;maxHeight=640;maxWidth=550,RF30BB660012/AA
Samsung - Bespoke 30 cu. ft. 3-Door French Door Refrigerator with Beverage Center - Stainless steel,2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6493/6493496_sd.jpg;maxHeight=640;maxWidth=550,RF30BB6600QL/AA
LG - 29 Cu. Ft. 3-Door French Door Smart Refrigerator with Ice Maker and External Water Dispenser - Black Stainless Steel,1999.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6447110_sd.jpg;maxHeight=640;maxWidth=550,LRFWS2906D
Haier - 15.0 Cu. Ft. 4-Door French Door Free-Standing Refrigerator - Stainless steel,999.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6494/6494084_sd.jpg;maxHeight=640;maxWidth=550,QJS15HYRFS
GE Profile - 27.9 Cu. Ft. 4-Door French Door Smart Refrigerator with Door-In-Door - Stainless steel,2999.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6368/6368988_sd.jpg;maxHeight=640;maxWidth=550,PVD28BYNFS
Samsung - 28 cu. ft. Large Capacity 3-Door French Door Refrigerator - Stainless steel,1499.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6417/6417767_sd.jpg;maxHeight=640;maxWidth=550,RF28T5001SR/AA
Whirlpool - 26.8 Cu. Ft. French Door Refrigerator - Stainless steel,2399.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6260/6260426_sd.jpg;maxHeight=640;maxWidth=550,WRF757SDHZ
LG - 26.5 Cu. Ft. French Door Counter-Depth Smart Refrigerator with Internal Water and Ice - Stainless steel,1799.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6511/6511564_sd.jpg;maxHeight=640;maxWidth=550,LRFLC2706S
Samsung - 22 cu. ft. Smart 3-Door French Door Refrigerator with External Water Dispenser - Black Stainless Steel,2069.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6471/6471973_sd.jpg;maxHeight=640;maxWidth=550,RF22A4221SG/AA
Samsung - 28  cu. ft. 4-Door French Door Refrigerator with FlexZone Drawer - Stainless steel,2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6323/6323216_sd.jpg;maxHeight=640;maxWidth=550,RF28R7201SR/AA
Samsung - 29 cu. ft. Smart 4-Door Flex™ refrigerator with Family Hub™ and Beverage Center - Black Stainless Steel,3199.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6448/6448505_sd.jpg;maxHeight=640;maxWidth=550,RF29A9771SG/AA
LG - 22.1 Cu. Ft. French Door Counter-Depth Smart Refrigerator with External Tall Ice and Water - Stainless steel,2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6292/6292038_sd.jpg;maxHeight=640;maxWidth=550,LFXC22526S
LG - 26.2 Cu. Ft. French Door Smart Refrigerator with Dual Ice Maker - Black Stainless Steel,2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6250/6250124_sd.jpg;maxHeight=640;maxWidth=550,LFXS26973D
LG - 25.1 Cu. Ft. French Door Refrigerator with Ice Maker - Stainless steel,1499.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6423/6423065_sd.jpg;maxHeight=640;maxWidth=550,LRFCS25D3S
LG - 26.2 Cu. Ft. French Door Smart Refrigerator with Dual Ice Maker - Stainless steel,2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6250/6250110_sd.jpg;maxHeight=640;maxWidth=550,LFXS26973S
GE - 27.7 Cu. Ft. French Door Refrigerator - Stainless steel,1999.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6399/6399114_sd.jpg;maxHeight=640;maxWidth=550,GFE28GYNFS
Insignia™ - 26.6 Cu. Ft. French Door Fingerprint-Resistant Refrigerator - Stainless steel,999.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6504/6504424_sd.jpg;maxHeight=640;maxWidth=550,NS-RFD26ISS3
LG - 23.5 Cu. Ft. French Door Counter-Depth Smart Refrigerator with Craft Ice - Stainless steel,2599.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6395/6395328_sd.jpg;maxHeight=640;maxWidth=550,LRFXC2416S
